Dopant Element,Atomic Number,Atomic Mass (amu),Group,Electronegativity,Melting Point,Boiling Point,Heat of Fusion,Ionisation Energy,Number of d electrons,d-band filling,Surface energy,Wigner-Seitz Radius,d-band centre
Sc,21,44.956,3,1.36,1814,3109,14.1,633.09,1,0.2,1.275,3.43,1.85
Ti,22,47.867,4,1.54,1943,3560,15.5,658.81,2,0.3,2.046,3.05,1.50
V,23,50.942,5,1.63,2183,3680,20.9,650.91,3,0.4,2.586,2.82,1.06
Fe,26,55.845,8,1.83,1811,3134,11.7,762.47,6,0.7,2.446,2.66,-0.92
Co,27,58.933,9,1.88,1768,3200,16.2,760.40,7,0.8,2.536,2.62,-1.17
Ni,28,58.693,10,1.91,1728,3186,17.2,737.13,8,0.9,2.415,2.60,-1.29
Cu,29,63.546,11,1.90,1358,2833,13.3,745.48,10,1.0,1.808,2.67,-2.67
Y,39,88.906,3,1.22,1795,3618,11.4,599.88,1,0.2,1.125,3.76,2.21
Zr,40,91.224,4,1.33,2127,4679,16.9,640.07,2,0.3,1.955,3.35,1.95
Nb,41,92.906,5,1.60,2750,5014,26.4,652.13,4,0.4,2.678,3.07,1.41
Mo,42,95.950,6,2.16,2895,4912,32.0,684.32,5,0.5,2.954,2.99,-0.60
Ru,44,101.070,8,2.20,2606,4420,24.0,710.18,7,0.7,3.047,2.79,-1.41
Rh,45,102.906,9,2.28,2236,3968,21.5,719.68,8,0.8,2.680,2.81,-1.73
Pd,46,106.420,10,2.20,1828,3236,17.6,804.39,10,0.9,2.027,2.87,-1.83
Ag,47,107.868,11,1.93,1235,2435,11.3,731.00,10,1.0,1.248,3.01,-4.30
W,74,184.340,6,1.70,3687,5828,35.4,758.76,4,0.5,3.470,2.95,0.77
Re,75,186.207,7,1.90,3458,5863,33.2,755.82,5,0.6,3.613,2.87,-0.51
Ir,77,192.217,9,2.20,2719,4701,26.1,865.19,7,0.8,3.024,2.84,-2.11
Pt,78,195.084,10,2.20,2041,4098,19.6,864.39,9,0.9,2.482,2.90,-2.25
Au,79,196.967,11,2.40,1337,3109,13.2,890.13,10,1.0,1.503,3.00,-3.56
